"","community_board","count"
"1","",2876
"2","0 Unspecified",754
"3","01 BRONX",5536
"4","01 BROOKLYN",21946
"5","01 MANHATTAN",3154
"6","01 QUEENS",14205
"7","01 STATEN ISLAND",29456
"8","02 BRONX",2729
"9","02 BROOKLYN",9087
"10","02 MANHATTAN",8130
"11","02 QUEENS",6174
"12","02 STATEN ISLAND",21383
"13","03 BRONX",4904
"14","03 BROOKLYN",20432
"15","03 MANHATTAN",7460
"16","03 QUEENS",8655
"17","03 STATEN ISLAND",35465
"18","04 BRONX",4591
"19","04 BROOKLYN",8979
"20","04 MANHATTAN",8348
"21","04 QUEENS",5400
"22","05 BRONX",3552
"23","05 BROOKLYN",19367
"24","05 MANHATTAN",5029
"25","05 QUEENS",16515
"26","06 BRONX",4875
"27","06 BROOKLYN",13233
"28","06 MANHATTAN",4908
"29","06 QUEENS",6455
"30","07 BRONX",5388
"31","07 BROOKLYN",9572
"32","07 MANHATTAN",7676
"33","07 QUEENS",19067
"34","08 BRONX",5978
"35","08 BROOKLYN",8599
"36","08 MANHATTAN",6404
"37","08 QUEENS",13018
"38","09 BRONX",6709
"39","09 BROOKLYN",5936
"40","09 MANHATTAN",3568
"41","09 QUEENS",11533
"42","10 BRONX",9644
"43","10 BROOKLYN",10845
"44","10 MANHATTAN",8979
"45","10 QUEENS",14831
"46","11 BRONX",6209
"47","11 BROOKLYN",14412
"48","11 MANHATTAN",4789
"49","11 QUEENS",11183
"50","12 BRONX",13926
"51","12 BROOKLYN",23657
"52","12 MANHATTAN",5700
"53","12 QUEENS",31027
"54","13 BROOKLYN",4892
"55","13 QUEENS",20741
"56","14 BROOKLYN",13079
"57","14 QUEENS",9406
"58","15 BROOKLYN",15289
"59","16 BROOKLYN",6029
"60","17 BROOKLYN",13216
"61","18 BROOKLYN",18553
"62","26 BRONX",27
"63","27 BRONX",8
"64","28 BRONX",17
"65","55 BROOKLYN",55
"66","56 BROOKLYN",11
"67","64 MANHATTAN",14
"68","80 QUEENS",4
"69","81 QUEENS",29
"70","82 QUEENS",24
"71","83 QUEENS",2
"72","84 QUEENS",12
"73","95 STATEN ISLAND",36
"74","Unspecified BRONX",1227
"75","Unspecified BROOKLYN",2876
"76","Unspecified MANHATTAN",1189
"77","Unspecified QUEENS",3656
"78","Unspecified STATEN ISLAND",1211
