"","date_ym","Dirty Conditions","Missed Collection","Sanitation Condition"
"1",Jan 2018,2836,2224,2604
"2",Feb 2018,2857,2871,2685
"3",Mar 2018,2851,1839,2632
"4",Apr 2018,3288,3112,3146
"5",May 2018,3443,3224,3921
"6",Jun 2018,3823,3861,4273
"7",Jul 2018,4140,3772,4679
"8",Aug 2018,4953,3734,5099
"9",Sep 2018,3975,3697,4437
"10",Oct 2018,3193,3629,4428
"11",Nov 2018,2259,4552,2990
"12",Dec 2018,2350,4355,2932
"13",Jan 2019,2723,4126,2998
"14",Feb 2019,2551,2735,2610
"15",Mar 2019,2993,2815,3040
"16",Apr 2019,2967,3479,3479
"17",May 2019,3161,3523,4184
"18",Jun 2019,3525,4361,4521
"19",Jul 2019,3671,3710,4562
"20",Aug 2019,3440,3569,4029
"21",Sep 2019,3152,3194,3742
"22",Oct 2019,2383,3563,3119
"23",Nov 2019,2018,4243,2472
"24",Dec 2019,2033,2699,2153
"25",Jan 2020,2317,4001,2676
"26",Feb 2020,2385,3174,2226
"27",Mar 2020,1841,2627,1928
"28",Apr 2020,1530,19,1340
"29",May 2020,2590,17,2223
"30",Jun 2020,3321,4764,3600
"31",Jul 2020,4520,5813,4619
"32",Aug 2020,4417,5246,4269
"33",Sep 2020,4214,4686,4472
"34",Oct 2020,3230,4350,3467
"35",Nov 2020,2177,3911,2759
"36",Dec 2020,2090,3032,2377
"37",Jan 2021,2778,4136,2747
"38",Feb 2021,1680,503,1526
"39",Mar 2021,4734,8767,3055
"40",Apr 2021,3764,4327,2893
"41",May 2021,4229,4459,3089
"42",Jun 2021,5376,5181,3699
"43",Jul 2021,5571,5423,3923
"44",Aug 2021,6025,4669,3634
"45",Sep 2021,5602,5242,2246
"46",Oct 2021,5015,20045,NA
"47",Nov 2021,3050,5763,NA
"48",Dec 2021,2781,5578,NA
"49",Jan 2022,2649,2914,NA
"50",Feb 2022,2961,2387,NA
"51",Mar 2022,3566,4453,NA
"52",Apr 2022,3272,3993,NA
"53",May 2022,3624,4378,NA
"54",Jun 2022,4295,5028,NA
"55",Jul 2022,4779,4861,NA
"56",Aug 2022,4709,4950,NA
"57",Sep 2022,4071,5172,NA
"58",Oct 2022,3329,5841,NA
"59",Nov 2022,2683,6106,NA
"60",Dec 2022,2508,5358,NA
"61",Jan 2023,3473,4182,NA
"62",Feb 2023,2834,3406,NA
"63",Mar 2023,3414,4011,NA
"64",Apr 2023,3477,4943,NA
"65",May 2023,4060,5558,NA
"66",Jun 2023,4597,5504,NA
"67",Jul 2023,5504,5258,NA
"68",Aug 2023,5146,4652,NA
