"","community_board","n_comp"
"1","",7347
"2","0 Unspecified",324
"3","01 BRONX",2100
"4","01 BROOKLYN",3506
"5","01 MANHATTAN",209
"6","01 QUEENS",6102
"7","01 STATEN ISLAND",5883
"8","02 BRONX",1934
"9","02 BROOKLYN",1195
"10","02 MANHATTAN",243
"11","02 QUEENS",3995
"12","02 STATEN ISLAND",1741
"13","03 BRONX",2438
"14","03 BROOKLYN",5024
"15","03 MANHATTAN",682
"16","03 QUEENS",3341
"17","03 STATEN ISLAND",1400
"18","04 BRONX",3768
"19","04 BROOKLYN",3362
"20","04 MANHATTAN",635
"21","04 QUEENS",2193
"22","05 BRONX",3032
"23","05 BROOKLYN",13033
"24","05 MANHATTAN",281
"25","05 QUEENS",7037
"26","06 BRONX",3443
"27","06 BROOKLYN",1663
"28","06 MANHATTAN",310
"29","06 QUEENS",916
"30","07 BRONX",2856
"31","07 BROOKLYN",1828
"32","07 MANHATTAN",577
"33","07 QUEENS",4032
"34","08 BRONX",1945
"35","08 BROOKLYN",3213
"36","08 MANHATTAN",438
"37","08 QUEENS",2389
"38","09 BRONX",5361
"39","09 BROOKLYN",4391
"40","09 MANHATTAN",861
"41","09 QUEENS",7424
"42","10 BRONX",4014
"43","10 BROOKLYN",2228
"44","10 MANHATTAN",1839
"45","10 QUEENS",6264
"46","11 BRONX",3975
"47","11 BROOKLYN",3135
"48","11 MANHATTAN",1163
"49","11 QUEENS",1112
"50","12 BRONX",10047
"51","12 BROOKLYN",3932
"52","12 MANHATTAN",2565
"53","12 QUEENS",15924
"54","13 BROOKLYN",2101
"55","13 QUEENS",8349
"56","14 BROOKLYN",5592
"57","14 QUEENS",1969
"58","15 BROOKLYN",5763
"59","16 BROOKLYN",4307
"60","17 BROOKLYN",11149
"61","18 BROOKLYN",13876
"62","26 BRONX",31
"63","27 BRONX",4
"64","28 BRONX",17
"65","55 BROOKLYN",28
"66","64 MANHATTAN",19
"67","80 QUEENS",12
"68","81 QUEENS",13
"69","82 QUEENS",12
"70","83 QUEENS",1
"71","84 QUEENS",3
"72","95 STATEN ISLAND",1
"73","QENB",1
"74","Unspecified BRONX",4
"75","Unspecified BROOKLYN",7
"76","Unspecified MANHATTAN",2
"77","Unspecified QUEENS",8
