"","date_ym","descriptor","n_comp"
"1",Sep 2021,"Chronic Dumping",58
"2",Sep 2021,"Removal Request",533
"3",Oct 2021,"Chronic Dumping",194
"4",Oct 2021,"Removal Request",1756
"5",Nov 2021,"Chronic Dumping",215
"6",Nov 2021,"Removal Request",1619
"7",Dec 2021,"Chronic Dumping",301
"8",Dec 2021,"Removal Request",1475
"9",Jan 2022,"Chronic Dumping",298
"10",Jan 2022,"Removal Request",1249
"11",Feb 2022,"Chronic Dumping",278
"12",Feb 2022,"Removal Request",1299
"13",Mar 2022,"Chronic Dumping",343
"14",Mar 2022,"Removal Request",1837
"15",Apr 2022,"Chronic Dumping",237
"16",Apr 2022,"Removal Request",1671
"17",May 2022,"Chronic Dumping",428
"18",May 2022,"Removal Request",2140
"19",Jun 2022,"Chronic Dumping",513
"20",Jun 2022,"Removal Request",2421
"21",Jul 2022,"Chronic Dumping",569
"22",Jul 2022,"Removal Request",2755
"23",Aug 2022,"Chronic Dumping",565
"24",Aug 2022,"Removal Request",2800
"25",Sep 2022,"Chronic Dumping",475
"26",Sep 2022,"Removal Request",2515
"27",Oct 2022,"Chronic Dumping",373
"28",Oct 2022,"Removal Request",2087
"29",Nov 2022,"Chronic Dumping",375
"30",Nov 2022,"Removal Request",1891
"31",Dec 2022,"Chronic Dumping",353
"32",Dec 2022,"Removal Request",1758
"33",Jan 2023,"Chronic Dumping",461
"34",Jan 2023,"Removal Request",1934
"35",Feb 2023,"Chronic Dumping",328
"36",Feb 2023,"Removal Request",1528
"37",Mar 2023,"Chronic Dumping",437
"38",Mar 2023,"Removal Request",1676
"39",Apr 2023,"Chronic Dumping",477
"40",Apr 2023,"Removal Request",2036
"41",May 2023,"Chronic Dumping",584
"42",May 2023,"Removal Request",2454
"43",Jun 2023,"Chronic Dumping",575
"44",Jun 2023,"Removal Request",2602
"45",Jul 2023,"Chronic Dumping",737
"46",Jul 2023,"Removal Request",3242
"47",Aug 2023,"Chronic Dumping",685
"48",Aug 2023,"Removal Request",2869
