relevant_charge,n_code,code,description
FAILURE TO RECYCLE,14,"ASR7 , ASU4 , ASX1 , ASX4 , ASX7 , ASR4 , ASR8 , ASR9 , ASS1 , ASS2 , ASS3 , ASS4 , ASS5 , ASS6","FAILURE TO RECYCLE ORGANICS HOTEL 100 OR MORE ROOMS 1ST , FAILURE TO RECYCLE ORGANICS HOTEL 1ST , ORGANICS MIXED WITH NON-ORGANICS MATERIALS 1ST , ORGANICS MIXED WITH NON-ORGANIC MATERIALS 1ST , FAILURE TO RECYCLE ORGANICS FSE AT LEAST 7,000 SQUARE FEET 1ST , FAIL TO RECYCLE ORGANICS FSE AT LEAST 15,000 SQ FT 1ST OFFENSE , FAILURE TO RECYCLE ORGANICS FSE CHAIN 2 OR MORE 1ST , FAIL TO RECYCLE ORGANICS FSE CHAIN 100 OR MORE 1ST OFFENSE , FAIL TO RECYCLE ORGANICS, FOOD STORE AT LEAST 10,000 SQFT CHAIN 1ST , FAIL TO RECYCLE ORGANICS RETAIL FOOD STORE AT LEAST 25000 SQ FT 1ST , FAILURE TO RECYCLE ORGANICS STADIUM 1ST , FAILURE TO RECYCLE ORGANICS HOTEL 2ND , FAILURE TO RECYCLE ORGANICS HOTEL 3RD+ , FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 1ST , FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 2ND , FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 3RD+ , FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 1ST , FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 2ND , FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 3RD+"
IMPROPER DISPOSAL,74,"AR7G , ASP4 , AB01 , AH30 , AH3G , AR01 , AR02 , AR06 , AR08 , AR09 , AR10 , AR11 , AR12 , AR17 , AR19 , AR1A , AR1E , AR1H , AR20 , AR21 , AR22 , AR2E , AR31 , AR32 , AR33 , AR41 , AR46 , AR48 , AR4E , AR4G , AR4H , AR51 , AR6B , AR6H , AR76 , AR79 , AR7C , AR7F , AR7H , AR8G , AR9H , ARA1 , ARA7 , ARB1 , ARB4 , ARC1 , ARC4 , ARC7 , ARD1 , ARD7 , ARG7 , ARH1 , AS01 , AS17 , AS27 , AS2A , AS2P , AS43 , AS6B , ASCF , ASF4 , ASF5 , ASGD , ASGJ , ASP5 , ASP6 , ASP8 , ASP9 , ASU7 , ASV1 , ASY0 , ASY4 , ASY7 , ASZ1","FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 1TO8DWELLING UNITS , FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION(1TO8DWELLING UNITS) , IMPROPER DISPOSAL--BEDDING 1ST OCCURRENCE , IMPROPER DISPOSAL BEDDING 1ST OFFENSE , IMPROPER DISPOSAL OF LEAD ACID BATTERY , FAILURE TO REMOVE LOCKING DEVICE FROM DISCARDED REFRIGERATOR , IMPROPER GARBAGE COLLECTION AND OR DISPOSAL , IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 9+ DWELLING UNITS , IMPROPER MISUSED MECHANIZED RECYCLING CONTAINER 9+ DWELLING UNITS , IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINERS 9+ DWELLING UNITS , FAILURE TO BUNDLE NEWSPAPERS MAGAZINES CARDBOARD 9+ DWELLING UNITS , FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 9+ DWELLING UNITS , NON-RECYCLABLES IN RECYC. CONTAINER FOR COLLECTION 9+ DWELLING UNITS , RECYCLABLES PLACED FOR COLLECTION WITH NON-RECYC 9+ DWELLING UNITS , IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER NINE OR MORE DWLNG UNITS , IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINER 9+ DWELLING UNITS , FAIL TO COMPLY W COMM.ORDER TO USE CLEAR BAGS 9+ DWELLING UNITS , IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 1 TO 8 DWELLING UNITS , NON-RECYC LEFT IN RECYC CONTAINER FOR COLLECTION 1TO8 DWELLING UNITS , FAILURE TO PROPERLY PUT RECYCLS OUT FOR COLLECTION 9+ DWELLING UNITS , NON-RECYCLABLES IN RECYC. CONTAINER FOR COLLECTION 9+ DWELLING UNTS , RECYCLABLES PLACED FOR COLLECTION W NON-RECYCL 9+ DWELLING UNITS , IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 1-8 DWELLING UNITS , FAILURE TO SOURCE SEPARATE DESIGNATED RECYCLABLES , FAILURE TO SOURCE SEPARATE NON-FOOD BEVERAGE RECYCLABLES , FAILURE TO SOURCE SEPARATE RESIDENTIAL RECYCLABLES 9+ DWELLING UNITS , IMPROPER MISUSED MECHANIZED RECYCLING CONTAINER 1 TO 8 DWELLING UNITS , FAILURE TO BUNDLE NEWSPAPES MAGAZINES CARDBOARD 1 TO 8 DWELLING UNITS , RECYC PLACED FOR COLLECTION W NON-RECYC 1 TO 8 DWELLING UNITS , FAILURE TO MAINTAIN SOURCE SEPARATION , RECYCLABLES PLACED FOR COLLECTION W NON-RECYC 1 TO 8 DWELLING UNITS , FAILURE TO MAINTAIN SEPARATION OF PAPER TRANSFER STATIONS , IMPROPER DISPOSAL-RECYCLABLE OR COMMINGLED MATERIALS TRANSFER STN-2D , FAILURE TO MAINTAIN SOURCE SEPARATION 4TH OR SUBSEQUENT VIOL IN 6MON , IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINER 1 TO 8 DWELLING UNITS , FAIL TO COMPLY W COMM.ORDER TO USE CLEAR BAGS 4-8 DWELLING UNITS , FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 1TO8DWELLING UNITS , FAILURE TO SEPARATE RECYCLABLES SOURCE SEPARATION 1ST , FAILURE TO BUNDLE NEWSPAPER CARDBOARD SOURCE SEPARATION 1ST , FAILURE TO BUNDLE NEWSPAPER CARDBOARD SINGLE STREAM 1ST , MIXED YARD WASTE 1ST , MIXED CONSTRUCTION AND DEMOLITION DEBRIS 1ST , RECYCLABLES MIXED WITH OTHER RECYCLABLES SOURCE SEPARATION 1ST , COMMINGLING OF DESIGNATED RECYCLABLES WITH SOLID WASTE SOURCE SEP 1ST , COMMINGLING OF DESIGNATED RECYCLABLES WITH SOLID WASTE SINGLE STR 1ST , SEPARATED RECYCLABLE MATERIALS NOT MAINTAINED PRIOR TO COLLECTION 1ST , FAILURE TO SEPARATE RECYCLABLES SINGLE STREAM 1ST , REMOVAL OF COMMERCIAL WASTE , SEPARATION AND WEIGHT , IMPROPER DISPOSAL OF INFECTIOUS MEDICAL WASTE , IMPROPER DISPOSAL DSNY LITTER BASKET - 2ND OFFENSE , IMPROPER DISPOSAL - 1ST OFFENSE , IMPROPER DISPOSAL OF REGULATED HOUSEHOLD WASTE , IMPROPER DISPOSAL 3RD OFFENSE , IMPROPER DISPOSAL OF ELECTRONIC WASTE , FAILURE TO PROPERLY BAG AND OR BUNDLE REFUSE AND RECYCLABLES , FAILURE TO PLACE BAGGED AND OR BUNDLED REFUSE AND RECY.AT PREDETER.LOC , PROVIDE SINGLE-USE NONCOMPOSTABLE PLASTIC STRAW W O CUSTOMER REQ , FAIL TO PROVIDE SINGLE-USE NONCOMPOSTABLE PLASTIC STRAW ON REQUEST , IMPROPER DISPOSAL BEDDING 2ND OFFENSE , IMPROPER DISPOSAL BEDDING 3RD OFFENSE , IMPROPER RECEPTACLES 2ND OFFENSE , IMPROPER RECEPTACLES 3RD OFFENSE , ORGANICS PLACED OUT FOR COLLECTION IN CONTAINER W O LATCHING DEVICE 1 , ORGANICS IN STORAGE AREA PLACED IN A CONTAINER W O LATCHING DEVICE 1ST , IMPROPER RECEPTACLE FOR YARD WASTE RESIDENT-9 OR MORE DWELLING UNITS 1 , IMPROPER DISPERSAL OF YARD WASTE BUSINESS GENERATING YARD WASTE 1ST , IMPROPER DISPOSAL OF YARD WASTE BUSINESS GENERATING YARD WASTE 1ST , IMPROPER RECEPTACLE FOR YARD WASTE RESIDENT- 1 TO 8 DWELLING UNITS 1ST"
NONPUTRESCIBLE WASTE,2,"AS37 , AS39","COMMISSIONER S TRANSFER STATION RULE RE: NONPUTRESCIBLE WASTE , COMMISSIONER'S TRANSFER STATION RULE RE: NONPUTRESCIBLE WASTE , COMMISSIONER S TRANSFER STATION RULES RE: PUTRESCIBLE WASTE , COMMISSIONER'S TRANSFER STATION RULES RE: PUTRESCIBLE WASTE"
RECYCLING PROGRAM,5,"AR34 , AR35 , AR70 , ARE1 , ASCB","FAILURE TO ESTABLISH RECYCLING PROGRAM , FAILURE TO NOTIFY EMPLOYEES ABOUT RECYCLING PROGRAM , NO WRITTEN RECYCLING NOTICE TO TENANTS EMPLOYEES , FAIL NOTIFY TEN OCC EMPLOYEES ABT RECY REQ IN WRITING SOURCE SEP 1ST , FAILURE TO REGISTER PUBLICLY ACCESSIBLE COLLECTION BIN WITH DSNY"
SANITATION VIOLATION,2,"AS96 , AS98","SANITATION VIOLATION , SANITATION PROVISION - UNSPECIFIED SECTION"
adandoned vehicle,1,AV01,ABANDONING VEHICLE
debris,5,"AS08 , AS19 , AS22 , AS9C , AS9D","DUST OR SUBSTANCES FLYING 1ST OCCURRENCE , DUST OR SUBSTANCES FLYING , LOOSE RUBBISH 1ST OCCURRENCE , LOOSE RUBBISH , EARTH, ROCKS AND RUBBISH , LOOSE RUBBISH - 2ND OFFENSE , LOOSE RUBBISH - 3RD OFFENSE"
dirty sidewalk,8,"AS06 , AS26 , AS6M , AS6V , AS8V , AS97 , AT12 , AT13","DIRTY SIDEWALK , DIRTY SIDEWALK DIRTY AREA , FAILURE TO CLEAN 18 INCHES INTO STREET , DIRTY AREA , DIRTY SIDEWALK DIRTY AREA VACANT LOT , FAILURE TO CLEAN 18 INCHES INTO STREET VACANT LOT , DIRTY SIDEWALK,FAIL TO CLEAN 18 INTO STREET,SIDEWALK OBSTRUCTION 2ND , FAILURE TO PROVIDE WORKING PUBLIC PAY TELEPHONE OPERATOR SERVICES , FAILED TO CLEAN MAINTAIN PUBLIC PAY TELEPHONE AS PER REQMNTS OF SUBSEC"
hazards,19,"AS10 , AS28 , AS29 , AS50 , AS51 , AS54 , AS55 , AS56 , AS57 , AS58 , AS59 , AS60 , AS61 , AS63 , AS65 , AS66 , AS69 , AS72 , AS74","NOXIOUS LIQUIDS , IMPROPER TRANSPORT STORAGE DISPOSAL OF ASBESTOS WASTE , HAZARDOUS TRANSPORTATION STORAGE DISPOSAL OF ASBESTOS WASTE , PRESENT FOR STORAGE ASBESTOS WASTE:NOT WET , PRESENT FOR STORAGE ASBESTOS WASTE:UNCONTAINED,UNSEALED , PRESENT FOR STORAGE ASBESTOS WASTE:MIXED W OTH.WASTE , STORAGE OF ASBESTOS WASTE:UNCONTAINED UNSEALED , STORAGE OF ASBESTOS WASTE:NOT WET,NOT 6 MIL , STORAGE OF ASBESTOS WASTE:NO WARNING LABELS , STORAGE OF ASBESTOS WASTE:NO 24HR INSPECTION , STORAGE OF ASBESTOS WASTE:INADEQUATE SPARE LEAK-TIGHT CONTAINERS , STORAGE OF ASBESTOS WASTE:INADEQUATE WATER SUPPLY , STORAGE OF ASBESTOS WASTE:MIXED W OTHER WASTE , STORAGE OF ASBESTOS WASTE:50CUBIC YDS NO AUTHORIZATION , PRESENT FOR TRANSPORT ASBESTOS WASTE:UNCONTAINED,UNSEALED , PRESENT FOR TRANSPORT ASBESTOS WASTE:NOT WET,NOT 6 MIL , PRESENT FOR TRANSPORT ASBESTOS WASTE:MIXED WITH OTHER WASTE , TRANSPORT ASBESTOS WASTE:UNCONTAINED,UNSEALED , TRANSPORT ASBESTOS WASTE:NO WARNING LABEL"
illegal dumping,7,"AS13 , AS14 , AS15 , AS16 , AS20 , AA13 , AS1Q","ILLEGAL DUMPING OPERATOR OF VEHICLE 1ST OFFENSE , ILLEGAL DUMPING OPERATOR OF VEHICLE - 1ST AND 2ND OFFENSE , ILLEGAL DUMPING OWNER OF VEHICLE 1ST OFFENSE , ILLEGAL DUMPING OWNER OF VEHICLE 1ST AND 2ND OFFENSE , ILLEGAL DUMPING CITIZEN COMPLAINANT - 1ST OFFENSE , ILLEGAL DUMPING CITIZEN COMPLAINT - 1ST AND 2ND OFFENSE , IMPROPER DISPOSAL 1ST OCCURRENCE , IMPROPER DISPOSAL 1ST OFFENSE , IMPROPER DISPOSAL DSNY LITTER BASKET 1ST OFFENSE , IMPROPER USE OF DSNY LITTER BASKET , UNLAWFUL DUMPING , ILLEGAL DUMPING OWNER OF VEHICLE 2ND OFFENSE"
